@unoriginalposter apparemment oui LUL,1
@esper_luette  j'aurais aimé avoir la même ps3 alors LUL,1
"@milvus__migrans Yep totalement, la DA joue énormément perso je trouve. Avec mes 8H de jeux actuel, j'ai trouvé les environnements beau, des cinématiques très belles et tout. J'pense pas avoir le même avis si c'était un Call Of niveau DA LUL",2
les gent qui disent que halo cest raté machin regarder du gameplay des ancien aux mieux de bafouiller LUL,2
la violence de l'élite avec l'épée a énergie LUL,2
@p1t4b cest un peux ça ouais LUL,1
"Tu dois déjà nous supporter nous, alors un 2e LUL",1
"@ilatnem Un chat anglophone complaisant en plus, on s'en passera LUL",2
imagine resident evil gagne le jeu de l'année LUL,1
"une pause alors qu'elle a commencé y'a 30s, ces américains LUL",2
C’est Halo LUL,1
Non je me souviens pas LUL,2
"@BenZaie  ""souvenez vous de ce jeu"" LUL",2
Ah oui quelle bouse ce jeu LUL,2
cest même pas le vraie jeux cette douille LUL,2
"Hollow Knight Silksong, Breath of the Wild 2, Final Fantasy XVI, Half Life 3, Elder Scrolls VI, Final Fantasy VII Remake 2, Overwatch 2 et GTA 6 seront présents ! Je suis SUR LUL",1
Ré Village game of the year lunaticLUL lunaticLUL lunaticLUL,1
C'était EZ a preshoot en vrai LUL,2
Un peu en retard sur la trad mais GG LUL,2
BENZOU Caleme LUL,2
Et Quaraté qui loupe ça parce que sa co rame mrqFish LUL,2
@benzaie Un avis sur RE Village GOTY lunaticLUL lunaticLUL bnzT,1
Benzaie il lui faudrait un tensiomètre intégré au stream pour cette soirée LUL,2
based on true events LUL c était malade ca reste un film on se calme,2
Gearbox encore LUL,2
c'est expédié si vite LUL,2
Avec Benzaie on a l'impression de regarder les awards en slow motion c'est incroyable LUL,1
Quoi LUL,2
ils font des stream IRL mtn LUL LUL,1
"Enfin, quand un week end gratuit sur un jeu est un World Premiere, ça veut rien dire LUL",2
si si j'attends d'ailleurs LUL,2
arrete avec cette blague LUL,1
Tu a pas assez joué a TOUT les jeux LUL @BenZaie,1
Metroidvania est devenu Hollow knight like LUL,2
les gagnants qui font semblant d'être surpris LUL,2
le truc derrière me trigger LUL,2
"dans 4mn, 3h de Game award LUL courage 🙏",2
c'est un jeu PS3 LUL LUL LUL,2
Keanu Reeves et Jim Carrey dans un show de jeux vidéo LUL,2
sting LUL,2
ça commence sur un concert ça va être long LUL,2
quelque part LUL,1
le metaverse de Sting LUL,1
